iter	Passed	Remaining
586	1592	1120
587	1597	1119
588	1599	1116
589	1603	1114
590	1605	1111
591	1607	1107
592	1609	1104
593	1611	1101
594	1614	1098
595	1616	1095
596	1618	1092
597	1620	1089
598	1621	1085
599	1623	1082
600	1625	1079
601	1627	1076
602	1629	1072
603	1631	1069
604	1633	1066
605	1635	1063
606	1636	1059
607	1638	1056
608	1641	1054
609	1645	1052
610	1648	1049
611	1650	1046
612	1652	1043
613	1654	1039
614	1656	1036
615	1659	1034
616	1661	1031
617	1663	1028
618	1665	1024
619	1667	1021
620	1668	1018
621	1671	1015
622	1674	1013
623	1675	1009
624	1677	1006
625	1680	1003
626	1682	1000
627	1684	997
628	1685	994
629	1688	991
630	1690	988
631	1694	986
632	1695	983
633	1697	980
634	1699	976
635	1701	973
636	1703	970
637	1705	967
638	1707	964
639	1709	961
640	1713	959
641	1715	956
642	1718	954
643	1720	951
644	1723	948
645	1727	946
646	1733	945
647	1738	944
648	1745	943
649	1749	942
650	1755	941
651	1761	940
652	1767	939
653	1772	937
654	1778	936
655	1784	935
656	1790	934
657	1796	933
658	1802	932
659	1808	931
660	1814	930
661	1820	929
662	1826	928
663	1832	927
664	1838	926
665	1844	925
666	1851	924
667	1854	921
668	1855	918
669	1861	917
670	1867	915
671	1874	914
672	1880	913
673	1886	912
674	1893	911
675	1896	909
676	1900	906
677	1904	904
678	1910	903
679	1916	901
680	1922	900
681	1928	899
682	1934	897
683	1940	896
684	1946	894
685	1952	893
686	1957	891
687	1963	890
688	1969	889
689	1972	886
690	1976	883
691	1978	880
692	1983	878
693	1985	875
694	1987	872
695	1989	869
696	1991	865
697	1997	864
698	2002	862
699	2008	860
700	2013	858
701	2015	855
702	2017	852
703	2021	850
704	2023	846
705	2026	843
706	2028	840
707	2030	837
708	2033	834
709	2035	831
710	2036	827
711	2038	824
712	2044	822
713	2048	820
714	2050	817
715	2054	814
716	2057	812
717	2062	810
718	2064	806
719	2066	803
720	2068	800
721	2073	798
722	2076	795
723	2081	793
724	2083	790
725	2085	787
726	2087	783
727	2092	781
728	2094	778
729	2096	775
730	2098	772
731	2100	768
732	2101	765
733	2104	762
734	2107	759
735	2109	756
736	2111	753
737	2115	750
738	2117	747
739	2120	745
740	2123	742
741	2125	739
742	2127	735
743	2129	732
744	2131	729
745	2133	726
746	2134	723
747	2137	720
748	2139	717
749	2141	713
750	2143	710
751	2145	707
752	2147	704
753	2149	701
754	2151	698
755	2155	695
756	2156	692
757	2158	689
758	2162	686
759	2164	683
760	2168	681
761	2170	677
762	2172	674
763	2176	672
764	2178	669
765	2180	666
766	2182	662
767	2184	659
768	2186	656
769	2188	653
770	2190	650
771	2193	647
772	2195	644
773	2197	641
774	2200	638
775	2202	635
776	2207	633
777	2212	631
778	2215	628
779	2221	626
780	2224	623
781	2230	621
782	2233	618
783	2237	616
784	2239	613
785	2241	610
786	2244	607
787	2246	604
788	2248	601
789	2251	598
790	2253	595
791	2258	593
792	2260	590
793	2265	587
794	2269	585
795	2273	582
796	2276	579
797	2283	577
798	2289	575
799	2293	573
800	2296	570
801	2299	567
802	2301	564
803	2304	561
804	2306	558
805	2308	555
806	2311	552
807	2313	549
808	2315	546
809	2317	543
810	2319	540
811	2321	537
812	2327	535
813	2332	533
814	2338	530
815	2341	527
816	2347	525
817	2353	523
818	2359	521
819	2365	519
820	2367	516
821	2369	513
822	2371	509
823	2373	506
824	2379	504
825	2385	502
826	2390	500
827	2396	497
828	2402	495
829	2408	493
830	2414	491
831	2421	488
832	2427	486
833	2433	484
834	2438	481
835	2444	479
836	2450	477
837	2456	474
838	2462	472
839	2468	470
840	2474	467
841	2476	464
842	2478	461
843	2481	458
844	2483	455
845	2485	452
846	2487	449
847	2490	446
848	2492	443
849	2493	440
850	2496	437
851	2498	434
852	2500	430
853	2503	427
854	2504	424
855	2509	422
856	2511	419
857	2513	415
858	2515	412
859	2516	409
860	2518	406
861	2520	403
862	2522	400
863	2524	397
864	2526	394
865	2527	391
866	2530	388
867	2532	385
868	2534	382
869	2537	379
870	2540	376
871	2542	373
872	2543	370
873	2548	367
874	2550	364
875	2553	361
876	2559	358
877	2561	355
878	2564	352
879	2566	349
880	2569	347
881	2571	343
882	2572	340
883	2574	337
884	2577	334
885	2579	331
886	2581	328
887	2585	326
888	2589	323
889	2592	320
890	2594	317
891	2597	314
892	2601	311
893	2603	308
894	2605	305
895	2607	302
896	2609	299
897	2611	296
898	2613	293
899	2614	290
900	2616	287
901	2618	284
902	2620	281
903	2622	278
904	2624	275
905	2626	272
906	2628	269
907	2631	266
908	2634	263
909	2637	260
910	2641	258
911	2646	255
912	2652	252
913	2657	250
914	2662	247
915	2664	244
916	2666	241
917	2669	238
918	2671	235
919	2673	232
920	2675	229
921	2677	226
922	2680	223
923	2682	220
924	2684	217
925	2686	214
926	2688	211
927	2690	208
928	2692	205
929	2694	202
930	2698	199
931	2699	196
932	2701	194
933	2704	191
934	2706	188
935	2708	185
936	2710	182
937	2714	179
938	2716	176
939	2718	173
940	2720	170
941	2722	167
942	2724	164
943	2726	161
944	2729	158
945	2731	155
946	2733	152
947	2735	150
948	2736	147
949	2738	144
950	2740	141
951	2742	138
952	2745	135
953	2746	132
954	2748	129
955	2751	126
956	2753	123
957	2755	120
958	2757	117
959	2759	114
960	2761	112
961	2763	109
962	2765	106
963	2767	103
964	2769	100
965	2771	97
966	2773	94
967	2775	91
968	2777	88
969	2778	85
970	2780	83
971	2783	80
972	2785	77
973	2787	74
974	2790	71
975	2791	68
976	2794	65
977	2797	62
978	2802	60
979	2805	57
980	2807	54
981	2809	51
982	2811	48
983	2814	45
984	2817	42
985	2819	40
986	2821	37
987	2823	34
988	2825	31
989	2826	28
990	2828	25
991	2830	22
992	2832	19
993	2834	17
994	2836	14
995	2839	11
996	2841	8
997	2843	5
998	2846	2
999	2847	0
