iter	RMSE
0	0.117149131
1	0.1160654531
2	0.1149512427
3	0.1139162648
4	0.1127707263
5	0.1116434886
6	0.1106599496
7	0.1096882704
8	0.1087388555
9	0.107803988
10	0.1069174645
11	0.1058173764
12	0.1048001335
13	0.1036412899
14	0.1027540094
15	0.1020425397
16	0.1011950534
17	0.1003074126
18	0.09948622321
19	0.09859067483
20	0.09775302071
21	0.09691308245
22	0.09613714177
23	0.09523302935
24	0.09439455365
25	0.0935237832
26	0.09280793201
27	0.0920844653
28	0.09134097362
29	0.0906281004
30	0.08992254782
31	0.08919570334
32	0.08826704035
33	0.08761172512
34	0.08719066862
35	0.08642801476
36	0.08561062392
37	0.08477996901
38	0.08423304203
39	0.08345622622
40	0.08286250314
41	0.08222678844
42	0.08168051986
43	0.0810926296
44	0.08042534139
45	0.07975824749
46	0.07913189762
47	0.0785632263
48	0.07823787051
49	0.07786890789
50	0.07725360132
51	0.076678642
52	0.07610032396
53	0.0755741405
54	0.07505648171
55	0.07465944049
56	0.07413963487
57	0.07363555243
58	0.07338030756
59	0.07288837351
60	0.0724666822
61	0.07219477042
62	0.07184175842
63	0.07139565576
64	0.07080498875
65	0.07039713933
66	0.06986458221
67	0.06933386711
68	0.06900301548
69	0.06858497685
70	0.06816031512
71	0.0676334861
72	0.06718342486
73	0.06682187659
74	0.06647316806
75	0.06608700627
76	0.06569817242
77	0.06533966875
78	0.06501624864
79	0.06472263957
80	0.06452302024
81	0.0641578539
82	0.06388778799
83	0.06352707638
84	0.0632932903
85	0.06301923775
86	0.06263636636
87	0.06225024062
88	0.06203950377
89	0.06175680696
90	0.06154341304
91	0.06127455788
92	0.06095842671
93	0.06063310011
94	0.06020432029
95	0.05984404337
96	0.05965610166
97	0.05943959438
98	0.05913856756
99	0.05883995124
100	0.05851908265
101	0.05822996078
102	0.05790397084
103	0.05754463827
104	0.05726903846
105	0.05701540957
106	0.056684702
107	0.05648139358
108	0.05617544623
109	0.05589237264
110	0.05571109956
111	0.05548303104
112	0.05520781741
113	0.05477803949
114	0.05450188693
115	0.05422744269
116	0.05396172873
117	0.05371624829
118	0.05354535616
119	0.05328489341
120	0.05302847695
121	0.05279061231
122	0.0525688361
123	0.05233854579
124	0.05209763708
125	0.05188072251
126	0.05160603203
127	0.05144278092
128	0.05124196432
129	0.0509706587
130	0.05076537592
131	0.05043994347
132	0.05024862117
133	0.05009082086
134	0.04990838457
135	0.04966117345
136	0.04946246672
137	0.04934323799
138	0.04920305008
139	0.04894650512
140	0.04867961538
141	0.0483918248
142	0.04805583748
143	0.04781148487
144	0.04755854149
145	0.0473108547
146	0.04716703099
147	0.04698414485
148	0.04668601148
149	0.04638087349
150	0.0461640621
151	0.04587755733
152	0.04580193739
153	0.04568476044
154	0.04557420484
155	0.04536459487
156	0.04521934039
157	0.04502075843
158	0.04473793689
159	0.04452658563
160	0.04446350456
161	0.0442723594
162	0.04411035726
163	0.04392140863
164	0.04367676787
165	0.04348971003
166	0.04335104646
167	0.04317637586
168	0.0430671263
169	0.04292948438
170	0.04283181598
171	0.04276225367
172	0.04266534902
173	0.04247509853
174	0.04223804319
175	0.04210370477
176	0.04188584041
177	0.04173605749
178	0.04160720972
179	0.0414995241
180	0.04126900598
181	0.0411077484
182	0.0410484355
183	0.04089831495
184	0.04068498341
185	0.04057832839
186	0.04034886113
187	0.0402930215
188	0.04019560234
189	0.0400198355
190	0.03988815901
191	0.03972621549
192	0.0394555324
193	0.03929348233
194	0.03909704845
195	0.03898234306
196	0.03886458163
197	0.03873445572
198	0.03844331304
199	0.03828895281
200	0.03821160054
201	0.03815408037
202	0.03796312617
203	0.03774977316
204	0.03768526448
205	0.03746616876
206	0.03733287651
207	0.03722895912
208	0.03713761699
209	0.03703325262
210	0.0369578562
211	0.03682578775
212	0.03669922828
213	0.03654044622
214	0.03650640324
215	0.03639994163
216	0.03634694541
217	0.03626521251
218	0.03620738142
219	0.03599285297
220	0.03584295335
221	0.03571316798
222	0.03565757464
223	0.03556927764
224	0.03540287661
225	0.03534444226
226	0.03529733137
227	0.03525739368
228	0.03519739991
229	0.03510625992
